Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
444,117923038,45,40,15754,240,1460,6,350.0888889,505.5940171,6,6,6.0,0.0,135.6308341,0.720809109,1403845.69,10300000.0,92800000,1,118000000,2680057.409,14200000.0,92800000,1,118000000,3023659.462,15100000.0,92800000,1,1,0,0,0,900,800,0.381604823,0.339204287,6,1460,186.3953488,402.603769,162089.7948,0,1,0,0,1,0,0,0,0,188.5882353,350.0888889,6.0,900,0,0,0,0,0,0,45,15754,40,240,255,1452,44,20,2982953.5,2987574.941,5095488,870419,55700000.0,52500000.0,92800000,18600000,Infiltration
80,11872818,5,5,421,3525,421,0,84.2,188.2769237,2077,0,705.0,990.6447396,332.3558063,0.842260026,1319202.0,2657142.373,6863297,4,6868717,1717179.25,3433587.85,6867561,4,11900000,2968194.5,3509478.335,6863297,99,0,0,0,0,168,168,0.421130013,0.421130013,0,2077,358.7272727,719.1895565,517233.6182,0,0,0,1,0,0,0,0,1,394.6,84.2,705.0,168,0,0,0,0,0,0,5,421,5,3525,29200,235,1,32,911.0,0.0,911,911,6863297.0,0.0,6863297,6863297,DoS GoldenEye
444,119382036,1157,1157,319630,6942,1271,6,276.2575627,265.155894,6,6,6.0,0.0,2735.520443,19.38315074,51613.50454,688536.9003,24800000,1,119000000,103271.2249,972656.1248,24800000,352,119000000,103271.2033,971529.3733,24800000,464,1,0,0,0,23140,23140,9.691575372,9.691575372,6,1271,141.1088553,231.0500967,53384.14718,0,1,0,0,1,0,0,0,1,141.1698358,276.2575627,6.0,23140,0,0,0,0,0,0,1157,319630,1157,6942,255,3977,1156,20,8742788.75,8670543.965,21700000,3735603,13600000.0,9693511.151,24800000,5373451,Infiltration
41385,155887,15,6,20532,24,2920,0,1368.8,1156.5318969105,6,0,4.0,3.098386677,131864.748182979,134.7129651607,7794.35,28091.2049342944,123182,1,155887,11134.7857142857,33365.7026720059,123182,1,123597,24719.4,55130.652656213,123340,3,0,0,0,0,324,144,96.2235465433,38.4894186173,0,2920,934.3636363636,1146.9107801666,1315404.33766234,0,0,0,1,0,0,0,0,0,978.8571428571,1368.8,4.0,324,0,0,0,0,0,0,15,20532,6,24,8192,357,13,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
21,9057763,9,15,116,188,29,0,12.88888889,10.87938928,34,0,12.53333333,14.54975045,33.56237075,2.649660849,393815.7826,1022867.003,3116909,3,6074913,759364.125,1405913.372,3159687,3,9057669,646976.3571,1262622.369,3116909,3,0,0,0,0,296,488,0.993622818,1.656038031,0,34,12.16,13.01499136,169.39,0,0,0,1,0,0,0,0,1,12.66666667,12.88888889,12.53333333,296,0,0,0,0,0,0,9,116,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
32,3,2,0,4,0,2,2,2.0,0.0,0,0,0.0,0.0,1333333.333,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,48,0,666666.6667,0.0,2,2,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,3.0,2.0,0.0,48,0,0,0,0,0,0,2,4,0,0,1024,-1,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
6106,3,2,0,4,0,2,2,2.0,0.0,0,0,0.0,0.0,1333333.333,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,48,0,666666.6667,0.0,2,2,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,3.0,2.0,0.0,48,0,0,0,0,0,0,2,4,0,0,1024,-1,1,24,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
137,2,2,0,124,0,62,62,62.0,0.0,0,0,0.0,0.0,62000000.0,1000000.0,2.0,0.0,2,2,2,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0,0,0,64,0,1000000.0,0.0,62,62,62.0,0.0,0.0,0,0,0,0,0,0,0,0,0,93.0,62.0,0.0,64,0,0,0,0,0,0,2,124,0,0,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,7977033,8,6,56,11601,20,0,7.0,5.656854249,5755,0,1933.5,2166.985348,1461.320268,1.755038496,613617.9231,1709790.331,6028683,3,7946246,1135178.0,2271347.524,6028683,3,41091,8218.2,13214.79367,30477,13,0,0,0,0,172,132,1.002879141,0.752159355,0,5755,777.5333333,1622.210611,2631567.267,0,0,0,0,1,0,0,0,0,833.0714286,7.0,1933.5,172,0,0,0,0,0,0,8,56,6,11601,256,229,6,20,1907069.0,0.0,1907069,1907069,6028683.0,0.0,6028683,6028683,DDoS
443,5067104,8,4,342,3675,194,0,42.75,68.4204439,3395,0,918.75,1655.770792,792.7605196,2.368216638,460645.8182,1493396.417,4963257,3,5067104,723872.0,1869487.717,4963257,3,47661,15887.0,12048.47526,27683,3601,0,0,0,0,180,92,1.578811092,0.789405546,0,3395,309.0,931.2748431,867272.8333,0,0,0,1,0,0,0,0,0,334.75,42.75,918.75,180,0,0,0,0,0,0,8,342,4,3675,29200,30,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
444,101039258,26,26,5810,156,1177,6,223.4615385,324.5229398,6,6,6.0,0.0,59.04635602,0.514651444,1981161.922,8701276.406,55000000,31,101000000,4041554.32,12200000.0,55000000,411,101000000,4041546.56,12200000.0,55000000,528,1,0,0,0,520,520,0.257325722,0.257325722,6,1177,113.245283,250.1431825,62571.61176,0,1,0,0,1,0,0,0,1,115.4230769,223.4615385,6.0,520,0,0,0,0,0,0,26,5810,26,156,255,1452,25,20,558285.6667,10919.81636,570883,551515,32900000.0,19100000.0,55000000,21600000,Infiltration
444,20,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,600000.0,100000.0,20.0,0.0,20,20,20,20.0,0.0,20,20,0,0.0,0.0,0,0,0,0,0,0,40,0,100000.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,538,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Infiltration
12174,75,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,106666.6667,26666.66667,75.0,0.0,75,75,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,13333.33333,13333.33333,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
53,60716,2,2,74,262,37,37,37.0,0.0,131,131,131.0,0.0,5533.9613940312,65.8804927861,20238.6666666667,35050.0688491953,60711,1,4,4.0,0.0,4,4,1,1.0,0.0,1,1,0,0,0,0,64,40,32.940246393,32.940246393,37,131,74.6,51.4859204055,2650.8,0,0,0,0,0,0,0,0,1,93.25,37.0,131.0,64,0,0,0,0,0,0,2,74,2,262,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,60244,1,1,55,110,55,55,55.0,0.0,110,110,110.0,0.0,2738.861961,33.1983268,60244.0,0.0,60244,60244,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,16.5991634,16.5991634,55,110,73.33333333,31.75426481,1008.333333,0,0,0,0,0,0,0,0,1,110.0,55.0,110.0,20,0,0,0,0,0,0,1,55,1,110,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,76572,2,2,76,240,38,38,38.0,0.0,120,120,120.0,0.0,4126.834874,52.23841613,25524.0,44205.40072,76568,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,64,64,26.11920807,26.11920807,38,120,70.8,44.91324972,2017.2,0,0,0,0,0,0,0,0,1,88.5,38.0,120.0,64,0,0,0,0,0,0,2,76,2,240,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
21,9627701,9,15,116,188,28,0,12.88888889,10.81023178,34,0,12.53333333,14.54975045,31.57555475,2.492806954,418595.6957,1089067.882,3348694,3,6235128,779391.0,1442768.744,3243581,4,9627573,687683.7857,1344593.193,3348694,3,0,0,0,0,296,488,0.934802608,1.558004346,0,34,12.16,12.99576854,168.89,0,0,0,1,0,0,0,0,1,12.66666667,12.88888889,12.53333333,296,0,0,0,0,0,0,9,116,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
80,115693019,17,15,960,1964,438,0,56.4705882353,143.609765357,979,0,130.9333333333,344.317641278,25.2737807802,0.2765940441,3732032.87096774,4811745.31892706,10004932,111,115693019,7230813.6875,4430820.86353489,10027148,140,110362032,7883002.28571429,4255839.95080016,10039984,12772,0,0,0,0,352,444,0.1469405859,0.1296534582,0,979,88.6060606061,252.6129622805,63813.3087121212,0,0,0,1,0,0,0,0,0,91.375,56.4705882353,130.9333333333,352,0,0,0,0,0,0,17,960,15,1964,8192,123,16,20,41375.5454545455,63671.0940009101,233351,22019,9991541.54545455,31348.7085391524,10004932,9897148,BENIGN
80,7935776,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,3.024278911,0.504046485,2645258.667,4577395.998,7930780,983,7935776,2645258.667,4577395.998,7930780,983,0,0.0,0.0,0,0,0,0,0,0,80,0,0.504046485,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,4996.0,0.0,4996,4996,7930780.0,0.0,7930780,7930780,DDoS
53,47957,2,2,98,190,49,49,49.0,0.0,95,95,95.0,0.0,6005.3798194216,83.4080530475,15985.6666666667,27642.9631069705,47905,3,3,3.0,0.0,3,3,49,49.0,0.0,49,49,0,0,0,0,40,64,41.7040265238,41.7040265238,49,95,67.4,25.1952376452,634.8,0,0,0,0,0,0,0,0,1,84.25,49.0,95.0,40,0,0,0,0,0,0,2,98,2,190,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,11708666,8,5,336,11632,336,0,42.0,118.7939392,7288,0,2326.4,3351.290617,1022.148894,1.110288738,975722.1667,2306643.802,6703103,40,6706719,958102.7143,2534122.342,6704952,198,11700000,2927156.5,3449842.54,6703103,126,0,0,0,0,264,168,0.683254608,0.42703413,0,7288,854.8571429,2181.517568,4759018.901,0,0,0,1,0,0,0,0,0,920.6153846,42.0,2326.4,264,0,0,0,0,0,0,8,336,5,11632,29200,235,1,32,876.0,0.0,876,876,6703103.0,0.0,6703103,6703103,DoS GoldenEye
52174,32,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,375000.0,62500.0,32.0,0.0,32,32,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,31250.0,31250.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Bot
80,10652752,5,4,369,3525,369,0,73.8,165.0218167,3525,0,881.25,1762.5,365.5393461,0.84485211,1331594.0,2470491.631,5648047,69,5651952,1412988.0,2825160.677,5650729,124,10700000,3550888.0,3091273.459,5648047,826,0,0,0,0,168,136,0.469362283,0.375489826,0,3525,389.4,1107.823813,1227273.6,0,0,0,1,0,0,0,0,0,432.6666667,73.8,881.25,168,0,0,0,0,0,0,5,369,4,3525,29200,235,1,32,914.0,0.0,914,914,5648047.0,0.0,5648047,5648047,DoS GoldenEye
80,84765131,5,7,405,11595,393,0,81.0,174.4391011,5792,0,1656.428571,2120.732252,141.5676453,0.141567645,7705921.0,25500000.0,84600000,7,84600000,21200000.0,42300000.0,84600000,7,84800000,14100000.0,34500000.0,84600000,45,0,0,0,0,144,232,0.058986519,0.082581126,0,5792,923.5384615,1714.105093,2938156.269,1,0,0,0,0,0,0,0,1,1000.5,81.0,1656.428571,144,0,0,0,0,0,0,5,405,7,11595,0,235,2,20,11995.0,0.0,11995,11995,84600000.0,0.0,84600000,84600000,DoS Hulk
443,8272160,6,7,1105,458,525,0,184.1666667,261.5656068,251,2,65.42857143,98.69457456,188.9470223,1.571536334,689346.6667,2341477.835,8124306,4,147806,29561.2,27967.31977,62415,199,8230099,1371683.167,3317903.692,8144191,4,0,0,0,0,132,144,0.725324462,0.846211872,0,525,111.6428571,188.0055675,35346.09341,0,0,0,1,0,0,0,0,1,120.2307692,184.1666667,65.42857143,132,0,0,0,0,0,0,6,1105,7,458,8192,16616,5,20,147806.0,0.0,147806,147806,8124306.0,0.0,8124306,8124306,BENIGN
443,28,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,142857.1429,9.333333333,11.93035345,23,1,5,2.5,2.121320344,4,1,0,0.0,0.0,0,0,0,0,0,0,60,32,107142.8571,35714.28571,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,60,0,0,0,0,0,0,3,0,1,0,0,1010,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,68533709,7,6,379,11595,373,0,54.14285714,140.6205634,7240,0,1932.5,2695.639126,174.7169411,0.189687676,5711142.417,19700000.0,68400000,1,68400000,11400000.0,27900000.0,68400000,1,177627,35525.4,67019.33579,154093,88,0,0,0,0,220,200,0.102139518,0.087548158,0,7240,855.2857143,1934.259207,3741358.681,0,0,0,0,1,0,0,0,0,921.0769231,54.14285714,1932.5,220,0,0,0,0,0,0,7,379,6,11595,251,235,2,20,2005.0,0.0,2005,2005,68400000.0,0.0,68400000,68400000,DoS Hulk
80,26101,3,7,26,11601,20,0,8.666666667,10.26320288,4380,0,1657.285714,1561.969346,445461.8597,383.1270833,2900.111111,7347.61821,22332,17,3261,1630.5,2011.718792,3053,208,26005,4334.166667,8904.47594,22332,17,0,0,0,0,72,152,114.938125,268.1889583,0,4380,1057.0,1468.855269,2157535.8,0,0,0,1,0,0,0,0,2,1162.7,8.666666667,1657.285714,72,0,0,0,0,0,0,3,26,7,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,100003145,5,4,247,0,231,0,49.4,101.5962598,0,0,0.0,0.0,2.469922321,0.08999717,12500000.0,35400000.0,100000000,45,100000000,25000000.0,50000000.0,100000000,406,100000000,33300000.0,57700000.0,100000000,1206,0,0,0,0,168,136,0.049998428,0.039998742,0,231,24.7,72.5626932,5265.344444,0,0,0,1,0,0,0,0,0,27.44444444,49.4,0.0,168,0,0,0,0,0,0,5,247,4,0,29200,235,3,32,3460.0,0.0,3460,3460,100000000.0,0.0,100000000,100000000,DoS slowloris
443,28419,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,140.7509061,9473.0,16365.29893,28370,1,49,24.5,33.23401872,48,1,0,0.0,0.0,0,0,0,0,0,0,60,20,105.5631796,35.18772652,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,60,0,0,0,0,0,0,3,0,1,0,0,0,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
163,51,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,117647.0588,39215.68627,51.0,0.0,51,51,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,19607.84314,19607.84314,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
60735,46973,2,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,106.4441275,11743.25,23059.12812,46329,1,46973,46973.0,0.0,46973,46973,4,2.0,1.414213562,3,1,0,0,0,0,64,60,42.57765099,63.86647649,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,3,0,119,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,245,2,2,104,352,52,52,52.0,0.0,176,176,176.0,0.0,1861224.49,16326.53061,81.66666667,102.7245508,197,0,0,0.0,0.0,0,0,48,48.0,0.0,48,48,0,0,0,0,80,80,8163.265306,8163.265306,52,176,101.6,67.91759713,4612.8,0,0,0,0,0,0,0,0,1,127.0,52.0,176.0,80,0,0,0,0,0,0,2,104,2,352,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,6254817,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,3.837042714,0.639507119,2084939.0,3610356.019,6253819,3,6254817,2084939.0,3610356.019,6253819,3,0,0.0,0.0,0,0,0,0,0,0,80,0,0.639507119,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,998.0,0.0,998,998,6253819.0,0.0,6253819,6253819,DDoS
53,268,2,2,92,248,46,46,46.0,0.0,124,124,124.0,0.0,1268656.716,14925.37313,89.33333333,149.5370634,262,2,2,2.0,0.0,2,2,4,4.0,0.0,4,4,0,0,0,0,64,64,7462.686567,7462.686567,46,124,77.2,42.72235949,1825.2,0,0,0,0,0,0,0,0,1,96.5,46.0,124.0,64,0,0,0,0,0,0,2,92,2,248,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,63121762,7,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.110896778,10500000.0,11900000.0,32100000,998111,63100000,10500000.0,11900000.0,32100000,998111,0,0.0,0.0,0,0,0,0,0,0,280,0,0.110896778,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,280,0,0,0,0,0,0,7,0,0,0,29200,-1,0,40,7010107.0,0.0,7010107,7010107,18700000.0,12200000.0,32100000,8015902,DoS Slowhttptest
53,30982,2,2,88,200,44,44,44.0,0.0,100,100,100.0,0.0,9295.720096,129.1072235,10327.33333,17842.44628,30930,4,48,48.0,0.0,48,48,4,4.0,0.0,4,4,0,0,0,0,40,64,64.55361177,64.55361177,44,100,66.4,30.67246322,940.8,0,0,0,0,0,0,0,0,1,83.0,44.0,100.0,40,0,0,0,0,0,0,2,88,2,200,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
444,69365637,1031,1031,307939,6186,1271,6,298.6799224,270.0715266,6,6,6.0,0.0,4528.539109,29.72653448,33656.30131,341655.4599,13900000,6,69300000,67329.11748,482164.7132,13900000,369,69400000,67344.6699,481227.4033,13900000,462,1,0,0,0,20620,20620,14.86326724,14.86326724,6,1271,152.3121667,240.5221819,57850.91996,0,1,0,0,1,0,0,0,1,152.386033,298.6799224,6.0,20620,0,0,0,0,0,0,1031,307939,1031,6186,255,3977,1030,20,16400000.0,0.0,16400000,16400000,13900000.0,0.0,13900000,13900000,Infiltration
